"GEO_ID","NAME","C16009_001E","C16009_001M","C16009_002E","C16009_002M","C16009_003E","C16009_003M","C16009_004E","C16009_004M","C16009_005E","C16009_005M","C16009_006E","C16009_006M","C16009_007E","C16009_007M","C16009_008E","C16009_008M","C16009_009E","C16009_009M","C16009_010E","C16009_010M","C16009_011E","C16009_011M","C16009_012E","C16009_012M","C16009_013E","C16009_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Income in the past 12 months below poverty level","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Estimate!!Total!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Income in the past 12 months at or above poverty level","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages"
"0500000US48005","Angelina County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48021","Bastrop County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48027","Bell County, Texas","271536","3798","31984","4256","27195","3949","3810","1432","655","579","324","318","0","294","239552","5622","198833","7129","28987","3524","5174","1743","5691","1363","867","671"
"0500000US48029","Bexar County, Texas","1553829","6881","250322","12660","119454","7392","123246","9898","4306","1725","2372","1204","944","832","1303507","13143","759142","12234","497110","12917","20197","2952","22307","2781","4751","2079"
"0500000US48037","Bowie County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48039","Brazoria County, Texas","279946","1617","34483","5658","19159","4402","14435","4071","616","814","273","256","0","294","245463","5816","186903","5538","41806","4194","4321","1618","11393","1708","1040","843"
"0500000US48041","Brazos County, Texas","168181","3842","53980","4334","41416","3912","8939","2041","1326","712","2176","1170","123","146","114201","5093","89097","4472","17521","2924","3609","1710","3618","1499","356","398"
"0500000US48061","Cameron County, Texas","366720","2557","125057","8525","21579","4932","103016","8494","129","141","287","333","46","82","241663","8508","76767","5562","162239","8075","1390","1221","1096","575","171","210"
"0500000US48085","Collin County, Texas","725973","1115","55757","7433","32701","4998","13098","3412","3829","2030","3777","1825","2352","3135","670216","7543","504825","8506","72036","5116","41735","4853","41209","4422","10411","3102"
"0500000US48091","Comal County, Texas","101947","1135","12608","2817","7475","2215","5061","2327","72","117","0","294","0","294","89339","2767","76742","2956","9682","1677","2519","1250","316","372","80","133"
"0500000US48099","Coryell County, Texas","59883","6369","5580","1826","4564","1630","898","864","118","153","0","294","0","294","54303","6240","46118","4769","5097","2354","2003","804","928","492","157","234"
"0500000US48113","Dallas County, Texas","2147198","3947","389920","17355","189728","10337","176543","14454","6329","2050","10236","2405","7084","2647","1757278","18603","1097407","16107","533622","15159","40993","4887","65731","3658","19525","3655"
"0500000US48121","Denton County, Texas","603190","2577","49510","5975","29000","4429","14050","4363","1914","1426","3631","1863","915","897","553680","6189","444451","7435","63607","4378","17900","3755","21908","3074","5814","2779"
"0500000US48135","Ector County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48139","Ellis County, Texas","135777","2618","15251","3288","9177","2637","5998","2208","76","127","0","294","0","294","120526","4294","97697","3750","19474","3029","1511","791","1529","1224","315","375"
"0500000US48141","El Paso County, Texas","729471","3771","171282","12300","26664","4272","143081","10574","631","451","852","697","54","90","558189","12442","159504","6855","387220","11718","5407","1659","4873","962","1185","745"
"0500000US48157","Fort Bend County, Texas","539474","1828","46427","6174","24244","4607","15481","3119","2740","1760","2946","1726","1016","699","493047","6509","317450","8904","80430","5318","35859","4598","51395","3883","7913","2674"
"0500000US48167","Galveston County, Texas","268986","1802","31921","4329","22256","3534","7917","2701","462","347","1286","768","0","294","237065","4405","197242","4511","31750","2727","3227","1181","4355","1278","491","714"
"0500000US48181","Grayson County, Texas","111557","1331","15667","3058","13421","2674","1865","1071","247","302","61","90","73","118","95890","3121","85678","2946","9333","1248","879","501","0","294","0","294"
"0500000US48183","Gregg County, Texas","109076","2147","22596","3498","17353","2774","5000","1988","243","295","0","294","0","294","86480","3942","72669","3458","11115","2503","972","792","937","701","787","1026"
"0500000US48187","Guadalupe County, Texas","122515","835","12656","2891","7828","2190","4731","2247","97","154","0","294","0","294","109859","3022","85802","3078","21759","2535","999","511","1045","422","254","281"
"0500000US48201","Harris County, Texas","3737786","4996","660485","25015","272404","14827","334539","18152","18120","4977","25606","4914","9816","2900","3077301","25488","1847416","23245","956487","18251","97179","8631","140722","7225","35497","6074"
"0500000US48203","Harrison County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48209","Hays County, Texas","138755","2407","22359","4314","16152","2670","5428","2717","539","415","185","217","55","90","116396","4483","91841","3750","22493","2699","1432","641","630","317","0","294"
"0500000US48213","Henderson County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48215","Hidalgo County, Texas","700015","1893","225487","14250","16717","3032","208104","14098","42","71","520","456","104","161","474528","14449","85676","5237","381867","13894","2367","1186","4395","993","223","177"
"0500000US48231","Hunt County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48245","Jefferson County, Texas","217952","5583","46578","5936","34835","5032","9099","2918","1285","694","1119","1044","240","331","171374","6947","146688","6515","17395","2725","2652","926","4356","1075","283","331"
"0500000US48251","Johnson County, Texas","136700","1882","17265","3813","11221","3077","5495","2567","308","568","241","457","0","294","119435","3878","106651","3649","10825","2611","624","460","1139","966","196","232"
