GEO_ID,NAME,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M
id,Geographic Area Name,Estimate!!Total!!German or other West Germanic languages,Margin of Error!!Total!!German or other West Germanic languages,Estimate!!Total!!German or other West Germanic languages!!Speak English very well,Margin of Error!!Total!!German or other West Germanic languages!!Speak English very well,Estimate!!Total!!German or other West Germanic languages!!Speak English less than very well,Margin of Error!!Total!!German or other West Germanic languages!!Speak English less than very well
0500000US48199,"Hardin County, Texas",41,,37,29,4,6
0500000US48207,"Haskell County, Texas",4,30,4,6,0,19
0500000US48227,"Howard County, Texas",125,102,91,61,34,59
0500000US48289,"Leon County, Texas",64,89,64,89,0,21
0500000US48333,"Mills County, Texas",16,20,16,20,0,13
0500000US48337,"Montague County, Texas",102,77,102,77,0,21
0500000US48351,"Newton County, Texas",9,14,9,14,0,21
0500000US48365,"Panola County, Texas",18,21,18,21,0,25
0500000US48389,"Reeves County, Texas",16,20,8,20,8,20
0500000US48403,"Sabine County, Texas",3,5,3,5,0,21
0500000US48421,"Sherman County, Texas",2,3,2,3,0,13
0500000US48437,"Swisher County, Texas",4,6,4,6,0,19
0500000US48231,"Hunt County, Texas",290,167,284,164,6,10
0500000US48063,"Camp County, Texas",19,25,11,21,8,16
0500000US48195,"Hansford County, Texas",0,19,0,19,0,19
0500000US48187,"Guadalupe County, Texas",730,184,602,155,128,76
0500000US48077,"Clay County, Texas",2,4,2,4,0,21
0500000US48205,"Hartley County, Texas",24,26,24,26,0,19
0500000US48217,"Hill County, Texas",93,90,86,89,7,11
0500000US48293,"Limestone County, Texas",86,58,42,39,44,43
0500000US48347,"Nacogdoches County, Texas",16,28,16,28,0,31
0500000US48369,"Parmer County, Texas",103,83,93,78,10,11
0500000US48367,"Parker County, Texas",308,161,273,143,35,38
0500000US48377,"Presidio County, Texas",0,19,0,19,0,19
0500000US48465,"Val Verde County, Texas",168,154,146,147,22,35
0500000US48109,"Culberson County, Texas",0,13,0,13,0,13
0500000US48135,"Ector County, Texas",51,38,51,38,0,31
0500000US48169,"Garza County, Texas",5,8,1,3,4,7
0500000US48173,"Glasscock County, Texas",0,13,0,13,0,13
0500000US48185,"Grimes County, Texas",72,56,61,55,11,14
0500000US48453,"Travis County, Texas",3201,526,2939,514,262,98
0500000US48085,"Collin County, Texas",2165,423,2039,411,126,75
0500000US48005,"Angelina County, Texas",111,77,111,77,0,31
0500000US48087,"Collingsworth County, Texas",38,46,38,46,0,13
0500000US48101,"Cottle County, Texas",12,14,12,14,0,13
0500000US48209,"Hays County, Texas",695,274,605,231,90,85
0500000US48279,"Lamb County, Texas",9,15,6,9,3,7
0500000US48295,"Lipscomb County, Texas",19,15,19,15,0,13
0500000US48301,"Loving County, Texas",0,13,0,13,0,13
0500000US48321,"Matagorda County, Texas",57,63,51,60,6,9
0500000US48371,"Pecos County, Texas",57,41,57,41,0,21
0500000US48395,"Robertson County, Texas",44,59,44,59,0,21
0500000US48397,"Rockwall County, Texas",177,110,133,95,44,42
0500000US48401,"Rusk County, Texas",60,46,60,46,0,31
0500000US48441,"Taylor County, Texas",507,184,456,176,51,45
0500000US48447,"Throckmorton County, Texas",0,13,0,13,0,13
0500000US48455,"Trinity County, Texas",27,31,27,31,0,21
0500000US48471,"Walker County, Texas",98,55,80,47,18,28
0500000US48499,"Wood County, Texas",48,47,48,47,0,28
0500000US48019,"Bandera County, Texas",121,83,77,66,44,53
0500000US48007,"Aransas County, Texas",13,17,13,17,0,25
0500000US48075,"Childress County, Texas",2,4,2,4,0,19
0500000US48079,"Cochran County, Texas",50,35,7,11,43,39
0500000US48081,"Coke County, Texas",4,5,4,5,0,13
0500000US48091,"Comal County, Texas",929,249,731,216,198,112
0500000US48099,"Coryell County, Texas",891,277,749,263,142,84
0500000US48211,"Hemphill County, Texas",3,6,3,6,0,13
0500000US48225,"Houston County, Texas",32,29,32,29,0,25
0500000US48341,"Moore County, Texas",8,13,8,13,0,25
0500000US48349,"Navarro County, Texas",52,43,47,42,5,7
0500000US48375,"Potter County, Texas",111,62,75,40,36,45
0500000US48405,"San Augustine County, Texas",12,20,12,20,0,19
0500000US48415,"Scurry County, Texas",10,18,10,18,0,21
0500000US48417,"Shackelford County, Texas",0,13,0,13,0,13
0500000US48427,"Starr County, Texas",0,31,0,31,0,31
0500000US48433,"Stonewall County, Texas",0,13,0,13,0,13
0500000US48461,"Upton County, Texas",0,13,0,13,0,13
0500000US48021,"Bastrop County, Texas",497,389,372,291,125,122
0500000US48049,"Brown County, Texas",24,27,24,27,0,28
0500000US48191,"Hall County, Texas",0,13,0,13,0,13
